German Occupation Titles,English Translation
Personalreferent und Material-Wirtschaft,"Reporter
  of the Jewish workforce and bursarship"
Petroleumchemiker,"Petroleum
  chemist"
Pfarrer,"Minister, Pastor"
Pferdehändler,Horses Trader
Pferdetrainer,Horses Trainer
Pferdewärter,"Horse
  attendant"
Pflasterer,Paver
Pflegerin,Nurse
Pförtner,"Janitor, Concierge"
Pharmazeut,Pharmacist
Pharmazeutin,Pharmacist
Photograf,Photographer
Photo-Lichtpauserei,"Photo
  blue prints"
Pilot,Pilot
Planungsbearbeiter für Neuanlagen.,"Planningworker
  for new ventures"
Platzarbeiter,"Local
  worker"
Pol. Beamter,Police Functionary
"Pol.
  Kommissar",Police Commissioner
Polierer,Polisher
Polizei,Police
Polizeiagent,Police Agent
Polizeiaspirant,Police Aspirant
Polizeiinsp.,Police Inspector
Polizeioffiz.,Police Officer
Polizeisekretär,Police Secretary
Polizist,Policeman
Polsterer,Upholsterer
Polstermeister,"Matress Manufacture
  Foreman"
Portier,Doorman
Porträtist,Portraitist
Porzellanmaler,"Porcelain (China)
  Painter"
Postangestellter,Postal Employee
Postarbeiter,Post Office Worker
Postbeamter,Postal Functionary
Postfacharbeit.,"Post Office Box
  Worker"
Postinspektor,Postal Inspector
Postler,Postal Worker
Postsekretär,Postal Secretary
Postspediteur,Post Forwarder
"Praktischer
  Arzt",General Practitioner
Presser,Presser
Priester,Priest
Privatangestellter,Private Employee
Privatbeamter,"Private Public
  Servant"
Prof. Mathem.,Maths Professor
Professor,Professor
"Professor der
  Musik",Music Teacher
Prokurist,Authorized Signatory
"Publizität
  Agent",Publicity Agent
Pumpenarbeiter,"Pump
  operator"
Pumpenmeister-Heizer,"Head
  pump & boiler operator"
Putzfrau,"Cleaning
  woman"
Putzmacherin,Milliner
Rabbiner,Rabbi
Radio Ing.,Radio Engeneer
Radioelektriker,Radio Electrician
Radioinst.,Radio Assembler
Radiomechanik.,Radio Mechanician
Radiomonteur,Radio Assembler
Radiotechniker,Radio Technician
Radiotelegrafist,Radio Telegraphist
Raffinationsgehilfe,"Assistant
  refining"
Raffinationsmeister,"Master
  refining"
Raffinatorgehilfe,"Assistant
  refiner"
Rathaussekr.,City Hall Secretary
Rechn.-Prüfer,"Invoice
  checker"
Rechner,Calculator
Rechnungsführer,Accountant
Rechtsanwalt,Attorney
Rechtsverwalter,Bailiff
Redakteur,Editor
Regenschirmmacher,"Umbrellas
  Manufacturer"
Regisseur,Stage Director
Reinigungsarbeiten,Janitor
Reisender,Travelling Salesman
Rentgenolog,X-Ray
Reperaturschlosser,Repair Locksmith
Restaurantbesitzer,Restaurant Owner
Restaurateur,Restaurateur
Restaurator,Restorer
Retuschierer,Retoucher
Revolverdreher,Turret Lathe Operator
Rhorleitungsmonteur,Pipeline Assembler
Richter,Judge
Riemer,"Pulley
  / belt worker"
Riemer u. Tapezierer,"Leather
  belt & upholsterer"
Riemer und Sattler,"Leather
  belt & Saddler"
Riemermeister,"Head
  pulley/belt worker"
Rittmeister,Cavalry Captain
Rohölmanipulant,"Works
  with crude oil"
Rohölmanipulant u. Bohrg. Baupol,"Crude
  oil manipulations"
Rohölreiniger,"Crude
  oil cleaner"
Rohölsammler,"Crude
  oil cleaner"
"Rohr
  Schleifer",Pipe Cutter
Rohrentechniker,"Pipework
  technician"
Rohrleger,"Pipe
  layer"
Rohrleitungsarbeiter,"Pipeline
  construction worker"
Rohrmonteur,"Pipe
  assembler / mechanic"
Rohrschlosser,Pipe Locksmith
Rohrzieher,Pipe Puller
Röntgenologe,"X
  ray technician"
Röntgentechniker,"X-ray
  technician"
Rundholzaufpolterer,"Wood
  refinisher"
Rundholzmanipulant,"Round
  wood manipulator"
Rüstungsarbeiter,Armament Worker
Sachbearbeiter,"Official
  in charge / consultant"
Sachbearbeiter d. Elektromaterialien.,"In
  charge of electric materials"
Sachbearbeiter f. Einkauf,"In
  charge of purchases"
Sachbearbeiter f. Sauerstoff-Ein-u. Ausgänge.,"In
  charge of entrance/exit of acids"
Sachbearbeiter f. Transit,"In
  charge of transit"
Sachbearbeiter für Neuanlagen,"In
  charge of new devlopments"
Sägearbeiter,Saw Worker
Sägefabrik-Spez.,"Saw Manufacture
  Expert"
Sägeleiter,"Saw
  manager"
Sägemanipulant,Saw Manipulator
Sägemeister,Saw Expert
Säger,Sawyer
Sägewerkang.,Sawmill Employee
Sägewerkarbeiter,Sawmill Worker
Sägewerkbeamt.,Sawmill Functionary
Sägewerkmeister,Sawmill Foreman
Sammler,"Header, Collector"
Sänger,Singer
Sanitäter,"Ambulance Man,
  Paramedic"
Sanitätsdienst,"Medical
  service"
Sanitätsgehilfin,"Medical
  assistant"
Sanitätskraft (Desinfektor),"Desinfection
  team"
Sattler,Saddler
Sattler,Saddler
Sattler,Saddler
Sattlermeister,Saddler Expert
Saurer,Acidifier?
Schächter,Shojchet
Schachtmeister,Pitt Master
Schäfer,Sheperd
Schaffner,Train Conductor
Schäftemacher,"Upper
  shoe maker"
Schauspieler,"Actor, Comedian"
Schichtenführer u. Kontorist,"Team
  leader and office employee"
Schiffbauing.,Shipbuilding Engeneer
Schiffer,"Mariner, Skipper"
Schiffmechaniker,Ship Mechanic
Schiffsbeamt.,Ship Functionary
Schiffsheizer,Ship Stoker
Schiffskapitän,"Captain, Skipper"
Schiffskoch,Ship Chef
Schiffsmann,Boatman
Schiffsoffizier,Ship Officer
Schiffssteuermann,Ship Helmsman
Schiffszimmermann,Ship Carpenter
Schiftmaler,Ship Painter
Schildermacher,"Signboards
  Manufacturer"
Schildermaler,Signboards Painter
Schirmacher,Umbrella Manufacturer
Schirmerzeug.,Umbrella Manufacturer
Schlächter,Slaughterman
Schlosermeister,"Master
  metalworker"
Schlosser,"Metal
  worker / locksmith"
Schlosser Bohrmeister,"Mechanic
  Drillmaster"
Schlosser Gehilfe,"Assistant
  metalworker"
Schlosser Mechaniker,"Mechanician
  metals"
Schlosser Schweisser,"Metal
  welder"
Schlossergehilfe,"Assistant
  metal worker"
Schlossergeselle,"Assistant
  metal worker"
Schlossermeister,"Master
  metal worker"
Schmelzer,Smelter 
Schmied,Blacksmith
"Schmied
  (Waffen)",Smith (Weapons)
Schmiedegehilfe,"Assistant
  blacksmith"
Schmiedegeselle,"Assistant
  blacksmith"
Schmiedemeister,"Master
  blacksmith"
Schneider,Tailor
Schneidergehilfe,"Assistant
  tailor"
Schneidermeister,"Master
  tailor"
Schnitter,Harvester
Schnittholzsortierer,"Wood
  cuting sorter"
Schreiber,"Author, Columnist"
Schreibkraft,Typist
Schreibkraft im Bürokrat,"Office
  typist"
Schriftbauarb.,Typography Worker
Schriftleiter,Editor
Schriftmaler und Lakierer,"Signwriter
  and varnisher"
Schriftsetzer,Typographer
Schriftsetzer,Typesetter
Schriftsteller,"Writer, Wordsmith"
Schuhmacher,Shoemaker
Schuledirektor,School Director
Schüler,Pupil
Schurfarbeiter,"Shearer
  / cutter"
Schuster,"Shoemaker, Cobbler"
Schuster,"Cobbler
  / shoemaker"
"Schuster
  Ortopedist","Shoemaker,
  Orthopedist"
Schustergehilfe,"Assistant
  shoemaker"
Schustermeister,"Master
  shoemaker"
Schusterzuschneider,"Shoe
  sewer"
Schweinzüchter,Pig Breeder
Schweisser,Welder
Schweisser u. Wasserleitungsmonteur,"Welder
  & water pipe assembler"
Schweissergehilfe,"Assistant
  welder"
Seemann,"Seaman, Sailor"
Seidensifter,Silk Sifter
Seidenweber,Silk Weaver
Seifen-Gehilfin,"Assistant
  soap maker"
Seifenkocher,Soap Boiler
Seifenmach.,Soap Maker
Seifensiederin,"Soap
  boiler"
Seiler,Rope Maker
Sekretär,Secretary
Sergeant,"Sarge, Sergeant"
Setzer,Typesetter
Sodawassererzeuger,Soda Water Producer
Soldat,Soldier
Sortieren v. Bohrproben,"Sort
  and essays of drills"
Sortierer,Sorter
Spediteur,Forwarder
Spediteur,Forwarding Agent
Spenglermeister,"Master
  panel beater"
"Spezial - Ingenieure für die Ausfertigung von Zeichn ungen und
  Entwürfen über Neuanla der Ost - und westgaliz schen Raffinerien. Beschäftigt
  im Baubüro der Raffinerien.","Engineer
  specialized in the preparation of blue prints and design of new installations
  in West and East galician refineries. Employed at the office of the refinery"
"Spezialarzt zur Bekämpfung des Paraffinkrebses und anderer
  Berufskrankheiten.","Doctor
  specialized in the paraffine induced cancer and other professional diseases"
Spezialfachmann f. Grubenmater.,"Specialist
  for drilling material"
Spezialfachmann f. Rohölreinigung,"Specialist
  for crude refinement"
Spezialfachmann Grubenanlagen,"Specialist
  for drillings"
Spezial-Ingeniuer für den Ausbau der Faffinerien und bekannter ?,"Enginer
  specialized in the construction of refineries"
"Spezialist und Erfinder der Emulsionsspalter, sowie des
  Polymeren als Erweicher für künstlichenGummi.","Specialist
  polymers and artificial rubber"
Spezialklempner,"Specilist
  plumber"
Spiegelschleifer,Mirror Cutter
Spinnerin,"Weaver
  (female)"
Spitalsverw.,Hospital Caretaker
Sport-Instr.,Sport Instructor
Sportlehrer,Sports Coach
"Sporttrainer/
  Kellner",Sports Coach
Sprachlehrer,Language Teacher
Staatsbeamter,Public Servant
Stahlformer,Steel Molder
Stahl-Ing.,Steel Engeneer
Stanzer,Puncher
Steiger ,Overman
Steindrucker,Litographer
Steinhauer,Stonecarver
Steinmetz,"Stone
  mason / cutter"
Steinschläger,Stone Scrapper
Steinsetzer,Gem Setter
Stellmacher,Cartwright
Stenograph.,Stenographer
Stenotypist Korrespondent.,"Stenographing
  and correspondance clerk"
Stenotypistin,"Shorthand
  typist / stenographer"
Stenotypistin u. Buchhalter,"Stenographing
  and bookkeeping"
Stenotypistin u. Maschinenschreib,"Stenographing
  and typing"
Steppdeckenmeist.,Quilt Technician
Steppdeckennäherin,Quilt-sewer
Stepper,Stitcher
Stereotyper,Stereotyper
Steuerinsp.,Tax Inspector
Steuerkontr.,Tax Controller
Steuermann,"Helmsman, Cox"
Stickerin,Embroider
Stoffdrucker,Cloth Printer
Strassenarbeiter,Roadman
Strassenbahner,Streetcarman
Straßenbahnfahrer,Streetcar Driver
Strassenbahnschaffner,Streetcar Conductor
"Straßenbau.
  Ing.",Roadworks Engeneer
Strassenbauer,Road Builder
Straßenbauführer,Road Building Headman
Strassenbaukontrolleur,"Road Building
  Controller"
Strassen-Ing.,Roadworks Engeneer
Straßenkehrer,Street Sweeper
Strassenwärter,Street Warder
Streicher,Sweeper
Strickergehilfin,"Knitters
  assistant"
Strickergesellin,"Knitters
  assistant"
Strickerin,Knitter
Strickermeisterin,"Master
  knitter"
Strümpfenmacher,"Stockings
  Manufacturer"
Strümpfer,Stocking Darner
Stubemaler,Room Painter?
"Stud.
  Maschin.",Student Machinery
"Stud.
  Technik.",Student Technician
Student,Student
"Student der
  Medizin",Medicine Student
Student.Jur.,Law Student
Stukkateur,Plasterer
Taglöhner,Day Labourer
Tapezierer,Upholsterer
Tapezierergehilfe,"Assistant
  upholsterer"
Tapezierergehilfin,"Assistant
  upholsterer"
Tapeziermeister,"Master
  upholsterer"
Taschner,Pocket Manufacturer
Taucher,"Frogman, Scuba Diver"
Techniker,"Technician
  / engineer"
Technikerin Zeichnerin,"Technician/
  draftman (female)"
Technischer Angestellter,"Technical
  clerk (female)"
Technischer Beamtin u. Maschinistin,"Technical
  employee and machinist (female)"
Technischer Grubenmaterialfachmann,"Technical
  specialist for drilling materials"
Technischer Kalkulant,"Technical
  calculator"
Technischer Kalkulant,"Technical
  quantity surveyor"
Technischer Karteiführer,"Technical
  reponsible for files"
Technischer Karteiführer,"Technical
  reponsible for files"
Technischer Kaufmann und Bohrgehilfe,"Technical
  commercial"
Technischer Sachbearbeiter,"Technical
  administrator"
Technischer Sachbearbeiter d. Anlage-Buchhaltung,"Technical
  administrator for the bookkeeping of the factory"
Technischer Spezial-Leichner für Entwürfe der Nen. Anlagen,"Technical
  draftman for design of new factories"
Technischer Zeichner,"Technical
  draftman"
Technischer Zeichner,"Technical
  draftman"
Technischeschule,"Technical
  school"
"Tele
  Mechaniker",Tele Mechanician
Telefonarb.,Telephone Worker
Telefondirektor,Telephone Director
Telefonist,Switchboard Operator
Telefonmonteur,Telephone Assembler
Telefontechniker,Telephone Technician
Telegr. Arb.,Telegraph Worker
Telegr. Mont.,Telegraph Assember
Telegrafbediensteter,"Telegraph Public
  Servant"
Telegrafist,Telegrapher
"Tex.
  Ingenieur",Textile Engeneer
Textilarbeiter,Textile Worker
Textilfabrikant,Textile Producer
Textilfabriksdirektor,Textileworks Director
Textilfärber,Textile Dyer
Textilist,Textile Man
Textilkaufmann,Textiles Merchant
Textilmanip.,Textile Manipulator
Textilmechaniker,Textile Mechanician
Textilmeister,Textile Expert
Textilweber,Textile Weaver
Theaterdirekt.,Theatre Director
Theologe,Theologian
Tiefbauing.,"Civil (Mining)
  Engeneer"
Tiefbautechniker,"Civil (Mining)
  Technician"
Tierarzt,Veterinary Surgeon
Tierarztgehilfe,"Veterinary Surgeon
  Assistant"
Tierpfleger,Keeper Of Animals
Tierzüchter,Breeder Of Animals
Tischler,Cabinetmaker
Tischler,Carpenter
Tischler Gehilfin,"Assistant
  Carpenter"
Tischler u. Anstreicher,"Carpenter
  and painter"
Tischler u. Parkettleger,"Carpenter
  and parquet layer"
Tischlergehilfe,"Assistant
  carpenter"
Tischlergeselle,"Assistant
  carpenter"
Tischler-Holzfachmann,Cabinetmaker
Tischlermeister,"Head
  carpenter"
Töpfer,"Ceramist, Potter"
Töpfermeister,Ceramist Expert
Topograph,Topographer
Totengräber,Gravedigger
Träger,Porter
Traktorenführer,"Tractor
  driver"
Traktorist,"Tractor
  driver"
Transportarbeiter,"Transport
  workman"
Transporteur,Haulier
Transportfacharbeiter,"Transport
  specialist"
Traubengärtner,Grapes Grower
Tuchfärber,"Blanket, Cloth Dyer"
Tuchweber,Cloth-Weaver
Tütenmacher,"(Paper) Bags
  Manufacturer"
Typograf,Typographer
Uhrmacher,Watchmaker
Uhrmachermeister,"Master
  watchmaker"
unbekannt,Unknown
Uniformmützenmaker,"Uniform
  capmaker"
Uniformschneider,"Uniform
  tailor"
"Univ. Doz.
  Chem.","University Lecturer
  Chemistry"
Univ. Dozent,University Lecturer
Universitätsprofessor,University Professor
unleserlich,Illegible
Unteroffizier,Corporal
Vergolder,Gilder
Verkäufer,Salesman
Verleger,Publisher
Verm. Beamt.,"Measurements Civil
  Officer"
Verm. Techn.,Technician Surveyor
Vermesser,Surveyor
Vermessung-Ing.,Measurements Engeneer
Vermessungsangestellter,Measurements Employee
Vermittler,Broker
Vernickler,Nickel Plating Worker
Verpacker,Packer
Verpflegsmagazin,"Foodstore
  keeper"
Verputzer,"Plasterer, Trimmer"
Vertreter,Agent
Verwalter,"Trustee, Caretaker"
Verwaltungsbeamter,"Administration Civil
  Officer"
"Vet.
  Feldscher",Veterinary Medic
Veterinar,Veterinarian
Volksschullehrer,"Elementary School
  Teacher"
Vorarbeiter,Foreman
Vorzeichner,Drawer
Vulkänisateur,Vulkanizer
Vulkaniseur,Vulcanizer
Vulkaniseur,Vulkanizer
Wachmann,Watchman
Wachssiederin,"Wax
  worker"
Wächter,"Warder, Guard"
Wachtmeister,Patrolman
"Waffen
  Schloss.",Weaponries Locksmith
Waffenschmied,"Weapons Forger, Smith"
Wagenmacher,"Car, Wagon Assembler"
Wagenschmied,"Car, Wagon Smith"
Wagner,"One
  who repair carriages"
Wagner Zimmermann,"Carriage
  carpenter"
Wagnergehilfe,"Assistant
  carriage worker"
Wagnergeselle,"Assistant
  carriage worker"
Waldarbeiter,Lumberman
Waldhüter,Ranger
Waldmann,Ranger
Walzer,(Sheet) Roller
Wäscheerzeuger,Linen Producer
Wäschenäherin,"Linen
  sewer"
Wäschenäherin-Gehilfin,"Assistant
  linen sewer"
Wäschenäherin-Meist.,"Head
  linen sewer"
Wascher,Launderer
"Wäscher u.
  Färber",Launderer / Dyer
Wäscherin,Laundress
Wäscheschneider,Linen Dressmaker
Wäschezuschneider,Linen Cutter
Wasser monteur,"Water
  operator"
Wasserinstallateur,Water Plumber
Wasserleiter Monteur,"Water
  pipes operator"
Wasserleitungmont.,Water Pipes Assembler
Wassernstallateur Meister,"Head
  water installations"
Wasser-Untersuchung,"Water
  analysis"
Weber,Weaver
Webermeister,Weaver Foreman
Wegebaumeist.,Road Building Foreman
Weinarbeiter,Winery Worker
Weingärtner,Wine Grower
Weinhändler,Wine Merchant
Weissnäher,Seamstress
Weissnäher-Gesellin,"Assisteant
  seamstress"
Weissnäher-Meisterin,"Head
  seamstress"
Weissnähgesellin,"Assistant
  seanstress"
Werkführer,Factory Headman
Werkmeister,Foreman
Werkstättenarbeiter,"Factory
  worker"
Werkstattenkalkulant,"Factory
  metreur"
Werkz. Dreher,Tools Turner
Werkzeugmacher,Tools Manufacturer
Werkzeugmechaniker,Tools Mechaniker
Werkzeugschleifer,Tool Polisher
Werkzeugschlosser,"Tools
  locksmith"
Werkzeugtransport-Facharbeiter,"Specialist
  for tools transport"
Winzer,Winegrower
Wirker,Weaver
Wirt,Innkeeper
Wirtschaftsbeamter,"Economy Public
  Servant"
Wirtschaftsprüfer,"Certified Public
  Accountant"
Wurstmacher,"Frankfurter (Sausage)
  Manufacturer"
Zahnarzt,Dentist
Zahnärzt Assistentin,"Dental
  assistant"
Zahnärzt Gehilfin,"Dental
  assistant"
Zahntechniker,"Dental
  technician"
Zeichner,Draftman
"Zeichner
  Konstrukt.",Building Drawer
Zeichner Registratur,"Blue
  prints archives"
Zeichner u. Schildenmaler,"Draftman
  and signs painter"
Zementarbeiter,Cement Worker
"Zent.
  Heizungsmonteur","Central Heating
  Assembler"
Ziegelbauer,"Brick Layer, Mason"
Ziegeleiarb.,Brickworks Worker
Ziegeleileiter,Brickworks Director
Ziegeleileiter,"Brick
  forman"
Ziegelmeister,Brick / Tiles Expert
Zimmerer,Carpenter
Zimmerergehilfin,"Assstant
  carpenter"
Zimmermaler,Carpenter-painter
Zimmermann,Carpenter
Zimmermann und Tischler,"Carpenter
  and cabinetmaker"
Zimmermanngehilfe,"Assistant
  carpenter"
Zimmermanngehilfin,"Assistant
  carpenter"
Zimmermanngesellin,"Assistant
  carpenter"
Zimmermannmeister,"Master
  carpenter"
Zinkarbeiter,Zinc Worker
Zinkdrucker ,Zincographer
Zinkgraphiker,Zincographer
Zirkusartist,Circus Artist
Zollbeamter,Customs Officer
Zollingenieur,Customs Engeneer ?
Zootechniker,Zoo Technician
Zuckerbäcker,Confectioner
Zuckermann,Sugarman
Zugführer,"Chief Guard, Conductor"
Zuschneider,"Cutter, Clicker"
Zwirnmeister,"Yarn, Thread Specialist"
